experiment,rank,maxIter,data_size,train_rows,holdout_rows,holdout_rmse,holdout_mse
exp1_rank_sweep,5,20,100000,79901,20099,0.923399,0.852667
exp1_rank_sweep,7,20,100000,79901,20099,0.928649,0.862389
exp1_rank_sweep,10,20,100000,79901,20099,0.941672,0.886746
exp1_rank_sweep,20,20,100000,79901,20099,0.950698,0.903827
exp2_maxIter_sweep,20,2,100000,79901,20099,0.972768,0.946277
exp2_maxIter_sweep,20,5,100000,79901,20099,0.937912,0.879679
exp2_maxIter_sweep,20,10,100000,79901,20099,0.945833,0.894600
exp2_maxIter_sweep,20,20,100000,79901,20099,0.950698,0.903827
exp3_size_sweep,20,20,2000,1591,409,1.539520,2.370122
exp3_size_sweep,20,20,5000,4005,995,1.282169,1.643957
exp3_size_sweep,20,20,10000,7996,2004,1.193472,1.424376
exp3_size_sweep,20,20,20000,15965,4035,1.120289,1.255047
exp3_size_sweep,20,20,50000,40104,9896,1.036478,1.074287
exp3_size_sweep,20,20,100000,80037,19963,0.945852,0.894635
